,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,,,
B. arthemis,0,1,1,1,0,-,-,?,0,?,0,?,-,0,1,?,-,?,0,0,-,-,0,0,-,?,0,-,2,0,3,0,0,3,0,0,?,?,-,0,-,-,-,-,-,-,-,?,-,?,?,0,0,0,0,-,0,0,0,-,4,0,?,-,-,?,5,?,?,?,?,?,-,?,?,2,0,0,-,1,-,?,0,-,1,-,0,0,-,0,0,0,-,1,1,0,-,1,0,0,1,0,-,-,0,2,7,1,?,0,A,1,4,0,,,,,
L. camilla,1,0,1,0,0,-,-,0,0,?,0,?,-,0,0,0,-,0,0,0,-,-,0.1,0,-,?,0,-,0,?,0.3,0,0,4,0,0,0,4,-,0,-,-,-,-,-,-,-,0,-,?,?,0,0,?,0,-,0,0,0,-,5,0,0,-,-,0,0,0,?,?,?,?,-,0,?,1,0,0,-,0,-,0,0,-,1,-,0,0,-,0,0,0,-,1,1,0,-,1,0,0,1,0,-,-,1,0,B,0,1,0,C,1,4,5,,,,,
L. reducta,1,1,1,0,0,-,-,?,1,0,0,?,-,0,1,?,-,?,0,0,-,-,0,0,-,?,0,-,0,?,3,1,0,0,0,0,0,4,-,0,-,-,-,-,-,-,-,?,-,?,?,0,0,0,0,-,?,0,0,-,4,0,0,-,-,0,1,0,?,?,?,?,-,0,?,1,0,0,-,2,-,?,0,-,?,-,?,0,-,0,0,0,-,1,0,?,-,?,0,0,0,0,-,-,1,0,B,0,1,0,2,1,4,5,,,,,
L. populi,2,0,1,0,0,-,-,?,1,0,0,?,-,0,1,?,-,0,0,0,-,-,0,0,-,?,0,-,0,0,0,0,0,0,0,0,0,4,-,0,-,-,-,-,-,-,-,0,-,?,0,0,0,0,0,-,0,0,0,-,5,0,0,-,-,0,0,0,?,?,?,?,-,0,?,1,0,0,-,0,-,0,0,-,1,-,0,0,-,0,0,0,-,1,1,0,-,0,0,0,1,0,-,-,0,3,A,1,?,0,A,1,4,0,,,,,
A. ranga,1,1,1,0,3,-,-,0,1,0,0,?,-,0,1,?,-,0,0,0,-,-,?,?,-,?,0,-,1,?,3,0,0,0,0,1,0,4,-,0,-,-,-,-,-,-,-,?,-,?,?,?,?,?,0,-,0,0,0,-,6,0,0,-,-,0,0,0,?,?,?,?,-,0,?,1,1,1,-,2,-,?,1,-,?,-,2,0,-,0,0,0,-,1,0,?,-,?,0,0,1,0,-,-,0,?,0,0,0,0,3,1,3,2,,,,,
A. asura,1,1,1,0,1,-,-,?,0,?,0,?,-,1,1,?,-,?,0,0,-,-,?,?,-,?,0,-,1,?,3,0,2,2,0,4,0,4,-,0,-,-,-,-,-,-,-,?,-,?,?,?,?,?,0,-,0,0,0,-,6,0,0,-,-,0,1,0,?,?,?,?,-,0,?,1,1,1,-,2,-,?,0,-,?,-,2,0,-,0,0,0,-,1,1,1,-,0,0,0,1,0,-,-,0,3,4,0,0,0,B,1,2,3,,,,,
A. selenophora,2,1,0,0,1,-,-,?,0,?,1,0.1,-,1,1,?,-,?,?,0,-,-,?,?,-,?,0,-,1,?,3,0,2,2,0,0,0,4,-,0,-,-,-,-,-,-,-,?,-,?,?,?,0,?,0,-,0,0,0,-,6,0,0,-,-,0,1,0,?,?,?,?,-,0,?,1,1,1,-,2,-,?,1,-,?,-,2,0,-,0,0,0,-,1,0,?,-,?,0,0,1,0,-,-,0,?,0,0,0,0,3,1,3,2,,,,,
M. lymire,2,0,0,0,0,-,-,0,1,0,0,?,-,0,0,0,-,0,0,0,-,-,0,0,-,?,0,-,0,1,4,0,0,0,0,0,0,4,-,0,-,-,-,-,-,-,-,0,-,0,0,0,0,0,0,-,0,0,0,-,4,0,?,-,-,0,0,0,?,?,?,?,-,0,?,1,1,0,-,0,-,0,0,-,1,-,0,0,-,0,0,0,-,1,1,0,-,0,0,0,1,?,-,-,0,3,?,?,?,?,?,?,?,?,,,,,
M. procris,2,1,0,0,0,-,-,0,0,?,1,0,-,0,0,0,-,0,0,2,-,-,?,0,-,?,0,-,0,0,0,0,0,1,0,0,0,0,-,0,-,-,-,-,-,-,-,?,-,?,?,?,0,0,0,-,0,0,0,-,4,0,0,-,-,0,0,0,?,?,?,?,-,0,?,1,1,0,-,0,-,0,0,-,1,-,0,0,-,0,2,0,-,1,1,0,-,0,1,?,1,0,-,-,0,3,4,0,0,0,B,1,0,2,,,,,
S. daraxa,2,0,0,0,0,0,0,0,0,?,1,1,0,0,0,0,0,0,0,1,0,6,0,0,0,?,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,1,0,1,0,0,0,0,0,?,0,0,0,0,0,?,1,0,0,4,0,0,0,1,0,0,0,?,?,?,?,?,0,?,1,1,0,0,2,0,?,0,0,1,?,0,0,0,0,0,0,0,1,0,?,?,?,0,0,1,1,?,?,0,3,?,?,?,?,?,?,?,?,,,,,
S. zulema,1,1,0,0,0,0,0,0,0,?,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,?,?,?,?,?,0,?,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,?,?,?,0,0,1,0,0,0,?,1,?,?,?,?,?,?,?,?,,,,,
P. zayla,2,0,0,0,0,0,0,0,0,?,1,0,0,0,0,0,0,0,0,1,1,0,?,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,?,?,?,?,?,0,?,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,?,?,?,0,0,1,0,0,0,?,1,?,?,?,?,?,?,?,?,,,,,
P. dudu,2,1,0,0,0,0,1,?,0,?,1,0,0,0,1,?,0,0,0,1,0,0,0,0,0,?,0,0,0,1,0,0.1,0,0,0,0,1,?,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,1,?,0,4,0,0,0,1,0,1,0,?,?,?,?,?,0,?,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,?,0,0,0,1,0,1,0,0,3,3,0,2,0,A,1,2,A,,,,,
bredowii,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,?,0,0,5,1,1,0,2,0,0,0,1,1.2,1,1,0,0,0,0,0,1,0,0.1,0,1,1,1,0,?,0,0,?,?,5,1,0,0,0,0,0,0,0,1,0,0,0.2,1.2,1,1,0.1,0,0,0,?,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,?,1,1,?,1,0,0,1,1,0,8,0,0,0,7,1,3,6,,,,,
diocles,0,0,1,1,-,1,0,1,0.1,1,1,0,0,-,0,1,0,0,0,0,0,6.7,-,1,0,2,0,0,-,-,1,1,0,0,0,0,1,?,1,0,0,0,1,0,0,0,0,0,0,?,1,5,1,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,0,0,0,?,1,0,1,1,-,-,1,1,?,?,-,0,1,?,0,0,0,1,1,0,1,-,1,0,?,1,1,?,1,0,2,1,-,-,?,?,?,?,?,-,?,?,,,,,
