ID,UTMX,UTMY,Genus
281,370309.1,9930267.7,Ateles
282,370268,9930304,Ateles
283,370909.8,9930152.5,Ateles
284,370187.5,9930495.8,Ateles
285,370239.2292,9930081.279,Ateles
286,370355,9930114,Ateles
287,370320,9930234,Ateles
288,370411,9930276,Ateles
289,371104,9930162,Ateles
290,370880,9930314,Ateles
291,370801.1262,9930264.17,Ateles
292,370455.9173,9930675.054,Ateles
293,370295,9930157.3,Ateles
294,370485,9930275,Ateles
295,370241,9930104,Ateles
296,370434.6,9930170.5,Ateles
297,370538,9930179,Ateles
298,370141,9930059,Ateles
299,371106.6,9930147.2,Ateles
300,370951,9930706,Ateles
301,371105.4,9929768.5,Ateles
302,371120.3015,9929731.272,Ateles
303,371171,9930054,Ateles
304,371095.4,9930174.3,Ateles
305,370866,9929812,Ateles
306,370108.9,9930020.7,Ateles
307,371345.1,9930130.2,Ateles
308,371391.2,9929883.5,Ateles
309,371359.1,9929921.8,Ateles
310,371473.8,9929691.2,Ateles
311,370841.8,9929544.9,Ateles
312,372281.4,9929560.3,Ateles
313,372161.8,9929402.5,Ateles
314,372205.2,9929282.1,Ateles
315,372231.9,9929145.1,Ateles
316,370967.6,9930166.1,Ateles
317,370762.5,9929534.8,Ateles
318,370769.4,9929566.5,Ateles
319,370743.2,9929552.6,Ateles
320,370391.6,9929527.4,Ateles
321,371450,9929942.9,Ateles
322,371501,9929792,Ateles
323,371513.8346,9929755.609,Ateles
324,372226.9,9929668,Ateles
325,370696.3716,9929794.523,Ateles
326,372939.8407,9929133.477,Ateles
327,370343.8622,9930130.362,Ateles
328,370761.9318,9930067.638,Ateles
329,370548.2062,9930737.948,Ateles
330,371521.1222,9929848.298,Ateles
331,371401.7984,9929900.461,Ateles
332,370530.9837,9930030.246,Ateles
333,371173,9929983,Ateles
334,371115.9528,9930449.764,Ateles
335,370769.5411,9929560.621,Ateles
336,370375.6465,9930571.306,Ateles
337,370142.5077,9930654.551,Ateles
338,370108,9930421,Ateles
339,371524.3362,9929852.129,Ateles
340,371267.8962,9929441.785,Ateles
341,370393.8059,9929438.278,Ateles
342,371401.5604,9929546.224,Ateles
343,371003.5499,9930014.597,Ateles
344,370564.2897,9930018.234,Ateles
345,371110.7118,9929872.159,Ateles
346,372069.5207,9929945.268,Ateles
347,370171.5563,9930016.902,Ateles
348,370219.4076,9930643.159,Ateles
349,371293.5969,9930451.92,Ateles
350,371371.6,9929845.6,Ateles
351,371530.4307,9929837.905,Ateles
352,372211.9449,9930028.937,Ateles
353,371849.3462,9929760.349,Ateles
354,371419.1468,9929995.109,Ateles
355,371413.7207,9929641.969,Ateles
356,370030.3965,9930197.877,Ateles
357,372759.6152,9928870.977,Ateles
358,372903.0982,9928819.377,Ateles
359,372197.834,9929525.715,Ateles
360,370260.3721,9930415.495,Ateles
361,371313.6346,9930508.315,Ateles
362,371009.2485,9930656.721,Ateles
363,371221.868,9930540.699,Ateles
364,371271.3725,9930424.506,Cebus
365,370468.7798,9930799.258,Ateles
366,370803.4185,9930742.022,Cebus
367,372175.2679,9930020.799,Ateles
368,371561.9858,9929971.601,Ateles
369,370521.8952,9930765.004,Ateles
370,371398.6184,9929564.313,Ateles
371,370480.8359,9930724.593,Ateles
372,370629.5769,9930681.197,Ateles
373,370626.1365,9930789.671,Ateles
374,370954.9446,9930554.43,Cebus
375,370714.3,9930193.1,Ateles
376,369937,9929862,Ateles
377,370074,9929908,Ateles
378,370483.3468,9929906.554,Ateles
379,370266.6486,9930720.754,Ateles
380,370572.0638,9930140.433,Ateles
381,370860.5081,9930684.902,Cebus
382,370392.561,9930627.462,Ateles
383,370575.146,9930222.43,Ateles
384,370407,9930292,Ateles
385,370397,9930446.4,Ateles
386,370233.503,9930663.029,Ateles
387,370413.0323,9930298.304,Ateles
388,371473.0041,9929370.704,Ateles
389,370502.4518,9930306.942,Ateles
390,370844.5894,9930031.53,Ateles
391,370890.1167,9930002.099,Ateles
392,370891.5942,9930026.723,Ateles
393,371866.9416,9929761.281,Ateles
394,371881.474,9929811.619,Ateles
395,372257.3213,9929586.845,Ateles
396,370343.7311,9930134.17,Ateles
397,371443.9851,9929984.27,Ateles
398,371437.5097,9930014.554,Ateles
399,370209.7692,9930161.679,Ateles
400,370735.7106,9930072.457,Ateles
401,370735.7106,9930072.457,Ateles
402,370041.471,9930022.016,Ateles
403,370877.261,9930017.42,Ateles
