Scientific_Name,Family,Genus,Species,Brain_Size_Species_Mean,Brain_Size_Female_Mean,Brain_size_Ref,Body_mass_male_mean,Body_mass_female_mean,Mass_Dimorphism,Mass_Ref,MeanGroupSize,AdultMales,AdultFemale,AdultSexRatio,Social_Organization_Ref,InterbirthInterval_d,Gestation,WeaningAge_d,MaxLongevity_m,LitterSz,Life_History_Ref,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,AET_Mean_mm,PET_Mean_mm,Climate_Ref,HomeRange_km2,HomeRangeRef,DayLength_km,DayLengthRef,Territoriality,Fruit,Leaves,Fauna,DietRef1,Canine_Dimorphism,Canine_Dimorphism_Ref,Feed,Move,Rest,Social,Activity_Budget_Ref
Saguinus_bicolor,Cebidae,Saguinus,bicolor,,,,428,430,0.995,Smith and Jungers 1997,7.5,,,,Kamilar 2006,,160,,228,2,Jones et al. 2009,-1.74,1299.9,26.2,1446.9,1659.3,Jones et al. 2009,,,,,,,,,,,,,,,,
Cheirogaleus_major,Cheirogalidae,Cheirogaleus,major,5.81,5.63,Isler et al 2008,438,362,1.21,Isler et al 2008,1,1,1,,Kappeler 1997,,65,47.14,180,2.26,Jones et al. 2009,-18.76,1676.3,20.3,1320.2,1592.7,Jones et al. 2009,0.02,Jones et al. 2009,,,,,,,,,,,,,,
Nycticebus_pygmaeus,Lorisidae,Nycticebus,pygmaeus,,,,462,376,1.229,Smith and Jungers 1997,1,1,1,,Nekaris & Bearder 2007,448,188,133,205.2,1.75,Jones et al. 2009,16.94,1499,21.1,1172.5,1359.8,Jones et al. 2009,,,,,,,,,,1.112,Plavcan & Ruff 2008,,,,,
Saguinus_imperator,Cebidae,Saguinus,imperator,,,,474,475,0.998,Smith and Jungers 1997,7,1,1,1,Kamilar 2006,,145,,242.4,2,Jones et al. 2009,-9.23,2127.9,24.9,1499.1,1570.9,Jones et al. 2009,0.22,Jones et al. 2009,2.06,Pontzer and Kamilar 2006,3.8922,,,,,,,,,,,
Callimico_goeldii,Cebidae,Callimico,goeldii,11.43,11.9,Isler et al 2008,499,468,1.066,Isler et al 2008,7.2,1,2,2,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,182.5,153,66.53,214.8,1.05,Jones et al. 2009,-5.33,2091.9,26,1476.2,1518.1,Jones et al. 2009,0.32,Jones et al. 2009,2,Nunn et al. 2003,3.1333,29,0,34,Kappeler & Pereira 2003,,,14,17,66,3,Porter 2001
Saguinus_geoffroyi,Cebidae,Saguinus,geoffroyi,10.14,10.19,Isler et al 2008,499.3,534.4,0.934,Isler et al 2008,6.3,2.4,2.1,0.88,Garber et al. 2008,240.9,142,56,246,1.97,Jones et al. 2009,6.88,2794.3,25.9,1563.4,1738.4,Jones et al. 2009,0.16,Jones et al. 2009,,,,,,,,,,,,,,
Saguinus_leucopus,Cebidae,Saguinus,leucopus,9.7,9.61,Isler et al 2008,510,539,0.946,Isler et al 2008,,,,,,,142.5,,182.4,2,Jones et al. 2009,6.3,1436.6,23.1,1499.6,1576.2,Jones et al. 2009,,,,,,,,,,,,,,,,
Saguinus_midas,Cebidae,Saguinus,midas,9.78,9.98,Isler et al 2008,535,591,0.905,Isler et al 2008,,,,,,206.83,127,69.6,184.8,2.02,Jones et al. 2009,-0.17,1606.8,25.3,1441.5,1667,Jones et al. 2009,0.05,Jones et al. 2009,,,,,,,,0.991,Plavcan & Ruff 2008,,,,,
Leontopithecus_chrysomelas,Cebidae,Leontopithecus,chrysomelas,11.84,11.86,Isler et al 2008,610,700,0.871,Isler et al 2008,6.7,1.6,1,0.63,,,,,255.6,2.04,Jones et al. 2009,-15.01,1531.2,22.4,1385.5,1596.7,Jones et al. 2009,0.24,Jones et al. 2009,,,,,,,,,,,,,9.1,Sussman et al. 2005
Lepilemur_leucopus,Lepilemuridae,Lepilemur,leucopus,6.87,6.8,Isler et al 2008,617,594,1.039,Isler et al 2008,1,1,1,,Kappeler 1997,,135.92,121.66,103,1.01,Jones et al. 2009,-24.5,568.2,23.1,803.2,1741.5,Jones et al. 2009,0.002,Jones et al. 2009,,,,,,,,1.123,Plavcan & Ruff 2008,,,,,
