Scientific_Name,Family,Genus,Brain_Size_Female_Mean,Body_mass_male_mean,Body_mass_female_mean,Mass_Dimorphism,HomeRange_km2
Propithecus_diadema,Indriidae,Propithecus,40.51,6050,6210,0.974,0.21
Allenopithecus_nigroviridis,Cercopithecidae,Allenopithecus,53.7,6130,3180,1.928,
Macaca_radiata,Cercopithecidae,Macaca,69.38,6312.5,3855.7,1.637,0.88
Macaca_leonina,Cercopithecidae,Macaca,82.12,6520.5,4762.7,1.369,
Alouatta_caraya,Atelidae,Alouatta,47.8,6525,4240,1.539,
Presbytis_melalophos,Cercopithecidae,Presbytis,59.21,6554.3,6566.6,0.998,0.12
Cercopithecus_nictitans,Cercopithecidae,Cercopithecus,67.52,6670,4260,1.566,1.15
Presbytis_comata,Cercopithecidae,Presbytis,59,6680,6710,0.996,0.38
Alouatta_seniculus,Atelidae,Alouatta,54.26,6690,5210,1.284,0.1
Trachypithecus_cristatus,Cercopithecidae,Trachypithecus,54.98,6728.1,6059.7,1.11,0.12
Cercopithecus_albogularis,Cercopithecidae,Cercopithecus,66.16,6977.7,4261.9,1.637,
Bunopithecus_hoolock,Hylobatidae,Bunopithecus,105.78,7106.5,6350,1.119,0.413
Alouatta_palliata,Atelidae,Alouatta,48.04,7150,5350,1.336,0.19
Alouatta_belzebul,Atelidae,Alouatta,51.19,7270,5520,1.317,
Lagothrix_lagotricha,Atelidae,Lagothrix,98,7280,7020,1.037,2.82
Trachypithecus_obscurus,Cercopithecidae,Trachypithecus,59.97,7346.9,6764.8,1.086,0.33
Cercopithecus_neglectus,Cercopithecidae,Cercopithecus,60.86,7350,4130,1.78,0.06
Trachypithecus_vetulus,Cercopithecidae,Trachypithecus,60.4,7371,5103,1.444,0.02
Nomascus_gabriellae,Hylobatidae,Nomascus,117.25,7410,7320,1.012,
Cercopithecus_mitis,Cercopithecidae,Cercopithecus,65.24,7590.6,4628,1.64,0.1
Trachypithecus_phayrei,Cercopithecidae,Trachypithecus,69.15,7767.8,7182,1.082,0.958
Ateles_geoffroyi,Atelidae,Ateles,109.59,7780,7290,1.067,0.73
Lophocebus_aterrimus,Cercopithecidae,Lophocebus,91,7840,5760,1.361,0.34
Ateles_belzebuth,Atelidae,Ateles,112.75,7850,8484.4,0.925,2.28
Lophocebus_albigena,Cercopithecidae,Lophocebus,89.96,7890,6010,1.313,1.98
Macaca_mulatta,Cercopithecidae,Macaca,84.26,7915.1,5670.5,1.396,5.91
Piliocolobus_badius,Cercopithecidae,Piliocolobus,62.46,8360,8210,1.018,0.42
Colobus_vellerosus,Cercopithecidae,Colobus,69.73,8420,7220,1.166,0.29
Ateles_paniscus,Atelidae,Ateles,101.2,8490,8070,1.052,1.36
Ateles_fusciceps,Atelidae,Ateles,108.74,8890,9160,0.971,
Macaca_silenus,Cercopithecidae,Macaca,80,8900,6100,1.459,0.88
Cercocebus_torquatus,Cercopithecidae,Cercocebus,94.98,9470,5500,1.722,
Cercocebus_agilis,Cercopithecidae,Cercocebus,100.89,9500,5660,1.678,
Piliocolobus_tephrosceles,Cercopithecidae,Piliocolobus,72.45,9559.6,7258,1.317,0.65
Cercocebus_galeritus,Cercopithecidae,Cercocebus,95.34,9610,5260,1.827,0.51
Brachyteles_arachnoides,Atelidae,Brachyteles,115.94,9610,8070,1.191,1.04
Colobus_guereza,Cercopithecidae,Colobus,69.77,9673,7505.6,1.289,0.3
Colobus_angolensis,Cercopithecidae,Colobus,72.3,9680,7570,1.279,3.71
Macaca_nigra,Cercopithecidae,Macaca,84.5,9890,5470,1.808,
Colobus_polykomos,Cercopithecidae,Colobus,70.23,9900,8300,1.193,0.5
Colobus_satanas,Cercopithecidae,Colobus,71.8,10400,7420,1.402,2.72
Macaca_fuscata,Cercopithecidae,Macaca,96.78,10970,8030,1.366,1.43
Cercocebus_torquatus_atys,Cercopithecidae,Cercocebus,86.8,11000,6200,1.774,
Pygathrix_nemaeus,Cercopithecidae,Pygathrix,89.5,11000,8440,1.303,
Macaca_nemestrina,Cercopithecidae,Macaca,100.65,11102.7,6539.2,1.698,1.75
