gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2447920614	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/7780809	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		US		Wyoming			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.280558	-104.450952	5.0						2017-08-21T10:56:43Z	21	8	2017	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	7780809			2017-09-04T18:49:27Z	CC_BY_NC_4_0	Erica Krimmel	Erica Krimmel			2019-11-08T01:31:22.088Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2447900514	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34661597	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		US		Arizona			28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.167728	-111.61348							2019-10-20T08:26:21Z	20	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	34661597			2019-10-20T23:17:53Z	CC_BY_NC_4_0	devoooooooo	devoooooooo			2019-11-08T01:23:17.464Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2447818745	7f5e4129-0717-428e-876a-464fbd5d9a47	Natuurpunt:Waarnemingen:180553401	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum	Dunal	BE		West Flanders		2	4d3ceea8-5699-439d-a899-decac9cbbdac	51.01698	3.26196	25.0						2019-10-07T00:00:00Z	7	10	2019	2930922	2929800	HUMAN_OBSERVATION	Natuurpunt						CC_BY_NC_4_0	Natuurpunt Studie				2019-11-07T13:42:27.239Z		
2446820776	861e6afe-f762-11e1-a439-00145eb45e9a	47e2fc36-f20c-4313-bc85-a03880e33148	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum Dunal	Dunal	US	Magnolia, city dump	Massachusetts	present		485ff490-e3b7-11db-9acc-b8a03c50a862									1956-09-16T00:00:00Z	16	9	1956	2930922	2929800	PRESERVED_SPECIMEN	NEBC	NEBC	barcode-01582492	12316			CC_BY_4_0	President and Fellows of Harvard College	S. K. Harris			2019-11-04T21:30:03.108Z	STILLIMAGE	
2445149456	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34813866	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		US		Texas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.566125	-101.801258							2019-09-02T07:46:00Z	2	9	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	34813866			2019-10-24T02:45:17Z	CC_BY_NC_4_0	Barry Keith	Barry Keith			2019-10-31T16:11:50.304Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2445127038	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34651377	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		US		Texas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.952994	-96.469566	24.0						2019-10-20T14:56:26Z	20	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	34651377			2019-10-20T20:25:18Z	CC_BY_NC_4_0	Sam Kieschnick	Sam Kieschnick			2019-11-15T13:10:32.244Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2445121748	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34702711	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		MX		Oaxaca			28eb1a3f-1c15-4a95-931a-4af90ecb574d	16.476936	-94.962735							2019-10-20T11:54:00Z	20	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	34702711			2019-10-21T19:14:19Z	CC_BY_NC_4_0	Emmanuel Guevara Lazcano	Emmanuel Guevara Lazcano			2019-10-31T16:11:05.705Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84
2445118572	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34550430	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		US		Texas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	29.47362	-98.641098							2019-10-18T10:49:00Z	18	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	34550430			2019-10-18T19:38:52Z	CC_BY_NC_4_0	Ron Stephens	Ron Stephens			2019-10-31T16:10:00.498Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2445111140	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34712922	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		MX		Guanajuato			28eb1a3f-1c15-4a95-931a-4af90ecb574d	20.195092	-100.6901	66.0						2019-10-18T10:01:45Z	18	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	34712922			2019-10-21T23:15:25Z	CC_BY_NC_4_0	Gilberto	Gilberto			2019-11-08T01:23:23.428Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2445104489	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/33868906	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		US		Texas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.601086	-103.926073	8.0						2019-09-02T15:39:00Z	2	9	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	33868906			2019-10-05T00:44:29Z	CC_BY_NC_4_0	Jeff McIntyre	Jeff McIntyre			2019-10-31T16:08:36.286Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2445077822	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34564118	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		MX		Durango			28eb1a3f-1c15-4a95-931a-4af90ecb574d	23.945398	-104.620817	61.0						2019-10-17T20:09:00Z	17	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	34564118			2019-10-19T01:37:46Z	CC_BY_NC_4_0	Heriberto Avila G.	Heriberto Avila G.			2019-10-31T16:10:07.541Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2445070776	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34719749	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum angustifolium		SPECIES	Solanum rostratum Dun.	Solanum rostratum		MX		Puebla			28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.09107	-97.530237	64.0						2019-10-20T13:54:01Z	20	10	2019	2930922	2929800	HUMAN_OBSERVATION	iNaturalist	Observations	34719749			2019-10-22T01:52:27Z	CC_BY_NC_4_0	Esteban Munguia	Esteban Munguia			2019-10-31T16:11:15.031Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
