Taxon,UTMX,UTMY
Ateles belzebuth,371616,9930005
Ateles belzebuth,371616,9930005
Ateles belzebuth,371618,9929885
Ateles belzebuth,371620.64,9929839.45
Ateles belzebuth,371637,9929889
Ateles belzebuth,371639.43,9929981.68
Ateles belzebuth,371658,9929994
Ateles belzebuth,371658.74,9929834.53
Ateles belzebuth,371661,9930037
Ateles belzebuth,371661,9930037
Ateles belzebuth,371665,9930064
Ateles belzebuth,371665,9930064
Ateles belzebuth,371671.60,9929849.85
Ateles belzebuth,371671.60,9929849.85
Ateles belzebuth,371672,9930033
Ateles belzebuth,371677,9930049
Ateles belzebuth,371677,9930049
Ateles belzebuth,371678.60,9929849.85
Ateles belzebuth,371681,9930019
Ateles belzebuth,371684,9930056
Ateles belzebuth,371691.45,9929865.17
Ateles belzebuth,371695,9929890
Ateles belzebuth,371698,9929906
Ateles belzebuth,371700,9930013
Ateles belzebuth,371702,9930062
Ateles belzebuth,371702.00,9930062.00
Ateles belzebuth,371702.00,9930062.00
Ateles belzebuth,371702.00,9930062.00
Ateles belzebuth,371702,9930062
Ateles belzebuth,371712,9930092
Ateles belzebuth,371712,9930092
Ateles belzebuth,371712,9930092
Ateles belzebuth,371712,9930092
Ateles belzebuth,371712,9930092
Ateles belzebuth,371712,9930092
Ateles belzebuth,371728.10,9929642.42
Ateles belzebuth,371730,9930022
Ateles belzebuth,371732,9929876
Ateles belzebuth,371733,9929886
Ateles belzebuth,371734.27,9929650.63
Ateles belzebuth,371737.74,9929630.93
Ateles belzebuth,371737.74,9929630.93
Ateles belzebuth,371738,9930085
Ateles belzebuth,371738,9930029
Ateles belzebuth,371738,9930029
Ateles belzebuth,371738,9930085
Ateles belzebuth,371738,9930029
Ateles belzebuth,371741,9929903
Ateles belzebuth,371741,9929903
Ateles belzebuth,371744,9930069
Ateles belzebuth,371744,9930069
Ateles belzebuth,371745.80,9929651.22
Ateles belzebuth,371748,9929900
Ateles belzebuth,371755,9929666
Ateles belzebuth,371755,9929666
Ateles belzebuth,371772,9929993
Ateles belzebuth,371780,9929651
Ateles belzebuth,371787,9929843
Ateles belzebuth,371793,9929851
Ateles belzebuth,371795,9930032
Ateles belzebuth,371811,9929832
Ateles belzebuth,371821,9929964
Ateles belzebuth,371821,9929964
Ateles belzebuth,371827,9929875
Ateles belzebuth,371827,9929876
Ateles belzebuth,371827,9929875
Ateles belzebuth,371829,9929925
Ateles belzebuth,371829,9929925
Ateles belzebuth,371830,9930018
Ateles belzebuth,371842,9929974
Ateles belzebuth,371842,9929974
Ateles belzebuth,371846,9929800
Ateles belzebuth,371859,9929807
Ateles belzebuth,371869,9929657
Ateles belzebuth,371869,9929657
Ateles belzebuth,371886.82,9929586.86
Ateles belzebuth,371888,9929281
Ateles belzebuth,371890.65,9929590.07
Ateles belzebuth,371900,9929798
Ateles belzebuth,371929,9929783
Ateles belzebuth,371931,9929789
Ateles belzebuth,371933,9929655
Ateles belzebuth,371933,9929655
Ateles belzebuth,371942.03,9929479.15
Ateles belzebuth,371987,9929744
Ateles belzebuth,372027,9929668
Ateles belzebuth,372035,9929651
Ateles belzebuth,372059,9929622
Ateles belzebuth,372068,9929677
Ateles belzebuth,372149,9929365
Ateles belzebuth,372204,9929071
Ateles belzebuth,372205,9929085
Ateles belzebuth,372223,9929245
Ateles belzebuth,372358,9930586
Ateles belzebuth,372581,9928975
Ateles belzebuth,372581,9928975
Ateles belzebuth,372611,9928983
Ateles belzebuth,373015,9929070
Ateles belzebuth,373231,9930547
Ateles belzebuth,371098.092,9929870.807
Ateles belzebuth,371267.2821,9929747.025
Ateles belzebuth,371256.1743,9929651.947
Ateles belzebuth,371296.2437,9929630.951
Ateles belzebuth,371479.8634,9929677.425
Ateles belzebuth,371548.8853,9929581.259
Ateles belzebuth,371535.5415,9929531.507
Ateles belzebuth,371584.5139,9929511.619
Ateles belzebuth,371557.7999,9929530.407
Ateles belzebuth,371556.6727,9929594.527
Ateles belzebuth,371556.667,9929619.954
Ateles belzebuth,371537.7458,9929627.689
Ateles belzebuth,371535.517,9929640.955
Ateles belzebuth,371534.4053,9929635.427
Ateles belzebuth,371524.3901,9929631.002
Ateles belzebuth,371556.6657,9929625.482
Ateles belzebuth,371557.7749,9929642.065
Ateles belzebuth,371523.2755,9929638.741
Ateles belzebuth,371554.434,9929652.014
Ateles belzebuth,371529.9547,9929631.004
Ateles belzebuth,371562.231,9929622.167
Ateles belzebuth,371571.1343,9929622.169
Ateles belzebuth,371521.0546,9929616.63
Ateles belzebuth,371578.9333,9929583.477
Ateles belzebuth,371560.02,9929555.834
Ateles belzebuth,371571.1491,9929555.837
Ateles belzebuth,371571.1504,9929550.309
Ateles belzebuth,371557.7757,9929638.749
Ateles belzebuth,371047.9628,9930086.374
Ateles belzebuth,371148.1194,9930110.718
Ateles belzebuth,371300.5899,9930103.013
Ateles belzebuth,371292.8007,9930097.484
Ateles belzebuth,371285.0271,9930022.306
Ateles belzebuth,371270.5714,9929968.132
Ateles belzebuth,371315.0972,9929926.132
Ateles belzebuth,371443.0764,9929950.482
Ateles belzebuth,371417.4671,9930005.753
Ateles belzebuth,371459.833,9929668.576
Ateles belzebuth,371424.2221,9929658.618
