id,phylo,age,tree,sex,DLM3L,DLM2L,DLM1L,DLP4L,DLM3AW,DLM2AW,MMC,Subfamily,PMM
384225,Papio_hamadryas,extant,y,F,19.22827667,14.82608667,12.75900667,NA,19.22827667,12.45578,1.507035553,Cercopithecoid,NA
384227,Papio_hamadryas,extant,y,F,18.26560667,14.56968667,12.69712333,9.829552667,18.26560667,12.08706667,1.438562593,Cercopithecoid,1.482232932
384228,Papio_hamadryas,extant,y,F,20.55425333,15.12932,13.08631667,10.03397167,20.55425333,12.42592333,1.57066758,Cercopithecoid,1.507809719
384229,Papio_hamadryas,extant,y,M,21.44397,16.39642,14.00669,10.67768,21.44397,12.69994,1.530980553,Cercopithecoid,1.53557889
384230,Papio_hamadryas,extant,y,M,19.85874333,15.75874667,13.75607667,10.61787,19.85874333,12.66733333,1.443634244,Cercopithecoid,1.484172124
384232,Papio_hamadryas,extant,y,M,NA,16.98213,14.31277,11.54332,NA,12.91441667,NA,Cercopithecoid,1.471165141
384234,Papio_hamadryas,extant,y,M,20.99776333,15.70509333,13.92913,11.16930667,20.99776333,12.76584667,1.507471273,Cercopithecoid,1.406093842
384235,Papio_hamadryas,extant,y,F,17.92791667,14.07117667,12.33492,9.865167667,17.92791667,11.28307,1.453427883,Cercopithecoid,1.42634947
384236,Papio_hamadryas,extant,y,F,NA,13.83025,12.21881667,10.07853367,NA,10.98415667,NA,Cercopithecoid,1.372248231
395433,Papio_hamadryas,extant,y,M,19.39824,16.19841667,13.12821667,10.49602,19.39824,13.37393,1.477599014,Cercopithecoid,1.54329133
395434,Papio_hamadryas,extant,y,M,20.89089667,16.46784,13.85366,11.80248,20.89089667,13.93625667,1.507969494,Cercopithecoid,1.395286414
395435,Papio_hamadryas,extant,y,M,NA,16.05001,14.38471667,11.21251,NA,13.76248667,NA,Cercopithecoid,1.431437742
395436,Papio_hamadryas,extant,y,M,20.57756,15.70768,NA,10.97000667,20.57756,NA,NA,Cercopithecoid,1.431875155
395437,Papio_hamadryas,extant,y,M,20.14369,15.48964333,12.34318667,10.51034333,20.14369,13.16191333,1.631968352,Cercopithecoid,1.473752364
395438,Papio_hamadryas,extant,y,F,16.82498667,13.79145667,10.84814333,9.674609,16.82498667,12.20361667,1.550955417,Cercopithecoid,1.425531168
395440,Papio_hamadryas,extant,y,M,NA,15.00992,NA,10.54533667,NA,13.00671667,NA,Cercopithecoid,1.423370393
395441,Papio_hamadryas,extant,y,F,NA,13.56849333,12.21109,8.770791,NA,11.12882667,NA,Cercopithecoid,1.547009082
397476,Papio_hamadryas,extant,y,F,18.69042333,14.19359,NA,9.336078667,18.69042333,11.70087667,NA,Cercopithecoid,1.520294602
81571,Papio_hamadryas,extant,y,M,NA,NA,NA,NA,NA,NA,NA,Cercopithecoid,NA
106562,Papio_hamadryas,extant,y,M,18.64573667,15.60867,13.23608333,10.01316367,18.64573667,11.58357667,1.408704992,Cercopithecoid,1.558815027
106563,Papio_hamadryas,extant,y,M,NA,18.049925,NA,NA,NA,14.29272,NA,Cercopithecoid,NA
117242,Papio_hamadryas,extant,y,M,22.58045,18.41202333,14.57544667,11.08568667,22.58045,NA,1.549211528,Cercopithecoid,1.660882531
117244,Papio_hamadryas,extant,y,M,23.35335667,19.43678333,15.17295333,11.88999,23.35335667,13.94173333,1.539143775,Cercopithecoid,1.634718223
117245,Papio_hamadryas,extant,y,F,20.64553333,15.77913333,NA,NA,20.64553333,NA,NA,Cercopithecoid,NA
117246,Papio_hamadryas,extant,y,F,NA,NA,NA,NA,NA,NA,NA,Cercopithecoid,NA
117249,Papio_hamadryas,extant,y,F,21.59406333,16.70404333,13.38634,10.13398667,21.59406333,13.21170667,1.613141705,Cercopithecoid,1.648319055
117250,Papio_hamadryas,extant,y,M,21.46745667,17.21788667,NA,NA,21.46745667,NA,NA,Cercopithecoid,NA
117251,Papio_hamadryas,extant,y,M,NA,18.01774,NA,11.33160667,NA,13.50167333,NA,Cercopithecoid,1.590042835
117252,Papio_hamadryas,extant,y,M,NA,NA,NA,NA,NA,NA,NA,Cercopithecoid,NA
117259,Papio_hamadryas,extant,y,M,24.19974,17.47845333,14.10602667,12.2037,24.19974,NA,1.715560347,Cercopithecoid,1.432225745
117260,Papio_hamadryas,extant,y,M,NA,17.43591667,14.35699,11.50362333,NA,13.16764333,NA,Cercopithecoid,1.515689115
117261,Papio_hamadryas,extant,y,F,19.30638,14.59837333,NA,9.135293667,19.30638,NA,NA,Cercopithecoid,1.598019052
117262,Papio_hamadryas,extant,y,F,20.31331333,NA,NA,NA,20.31331333,NA,NA,Cercopithecoid,NA
117263,Papio_hamadryas,extant,y,NA,NA,NA,NA,NA,NA,NA,NA,Cercopithecoid,NA
117264,Papio_hamadryas,extant,y,NA,23.60505667,17.96237,15.03260667,NA,23.60505667,14.11695667,1.570257055,Cercopithecoid,NA
118062,Papio_hamadryas,extant,y,F,19.50229667,15.84359333,NA,10.46989,19.50229667,NA,NA,Cercopithecoid,1.513253084
120929,Papio_hamadryas,extant,y,M,21.32522333,16.29883333,13.32013333,10.55195333,21.32522333,11.59228667,1.600976717,Cercopithecoid,1.544627125
122416,Papio_hamadryas,extant,y,M,22.09516667,18.02371667,15.51950667,NA,22.09516667,12.91206,1.423702901,Cercopithecoid,NA
124254,Papio_hamadryas,extant,y,M,22.20109333,16.35213667,14.19848,11.74867,22.20109333,12.59703,1.563624651,Cercopithecoid,1.391828749
149500,Papio_hamadryas,extant,y,F,19.70315667,14.96541,NA,11.41652667,19.70315667,11.99535,NA,Cercopithecoid,1.310854906
149502,Papio_hamadryas,extant,y,NA,20.21179333,17.00695667,NA,11.76252667,20.21179333,13.78900667,NA,Cercopithecoid,1.445859138
149503,Papio_hamadryas,extant,y,NA,21.54895333,16.97033333,13.48005333,11.11227333,21.54895333,14.01781333,1.598580718,Cercopithecoid,1.527170258
149504,Papio_hamadryas,extant,y,NA,19.96163333,15.49288,NA,10.65612,19.96163333,NA,NA,Cercopithecoid,1.453895039
149505,Papio_hamadryas,extant,y,NA,NA,16.11827,NA,11.78527667,NA,13.66587333,NA,Cercopithecoid,1.367661571
149507,Papio_hamadryas,extant,y,M,NA,14.9577,11.95074,11.85456333,NA,13.98915667,NA,Cercopithecoid,1.261767269
149508,Papio_hamadryas,extant,y,M,23.35602,17.42446667,14.19308,10.91503333,23.35602,NA,1.645592077,Cercopithecoid,1.596373199
149509,Papio_hamadryas,extant,y,M,22.41379333,17.7352,NA,12.14045333,22.41379333,14.28842333,NA,Cercopithecoid,1.460835071
149510,Papio_hamadryas,extant,y,M,NA,16.23862,12.75731,12.19354667,NA,NA,NA,Cercopithecoid,1.331738865
149511,Papio_hamadryas,extant,y,M,21.97127,16.63010333,NA,11.84667667,21.97127,14.2479,NA,Cercopithecoid,1.403777936
149512,Papio_hamadryas,extant,y,F,20.12198,15.71541,12.57440667,11.03061667,20.12198,12.349,1.60023296,Cercopithecoid,1.424708198
149513,Papio_hamadryas,extant,y,F,NA,15.89345333,13.05345667,10.62701333,NA,NA,NA,Cercopithecoid,1.495571035
149514,Papio_hamadryas,extant,y,F,NA,15.09095333,NA,11.25818667,NA,13.29388333,NA,Cercopithecoid,1.340442628
149515,Papio_hamadryas,extant,y,M,22.87800667,17.13143,14.56981667,11.59850667,22.87800667,NA,1.570232982,Cercopithecoid,1.477037561
152835,Papio_hamadryas,extant,y,M,22.68681,17.08919667,14.05679,11.36680333,22.68681,14.33142,1.613939598,Cercopithecoid,1.503430311
154145,Papio_hamadryas,extant,y,M,NA,15.68826,13.13446,10.90294333,NA,12.41196667,NA,Cercopithecoid,1.438901361
154146,Papio_hamadryas,extant,y,M,20.67641,16.88402,13.57701,10.61282667,20.67641,13.81531333,1.522898635,Cercopithecoid,1.590906977
154147,Papio_hamadryas,extant,y,M,16.61159333,14.80598,11.98046,9.254797333,16.61159333,11.55809333,1.386557222,Cercopithecoid,1.599816773
154148,Papio_hamadryas,extant,y,M,20.3931,15.48223,NA,10.95901,20.3931,12.85988667,NA,Cercopithecoid,1.412739837
184531,Papio_hamadryas,extant,y,NA,19.11478667,16.83242,14.6845,12.12461333,19.11478667,14.09391,1.301698162,Cercopithecoid,1.388285098
28255,Nasalis_larvatus,extant,y,NA,9.4781815,7.602352,6.9533445,5.8392045,9.4781815,6.0968695,1.363111162,Cercopithecoid,1.301949949
85171,Nasalis_larvatus,extant,y,M,10.026863,7.9262945,7.0781695,6.1198705,10.026863,6.030108,1.41658984,Cercopithecoid,1.295173566
85172,Nasalis_larvatus,extant,y,F,9.656854,7.04098,6.274956,6.1026215,9.656854,5.6130335,1.538951668,Cercopithecoid,1.153763182
103402,Nasalis_larvatus,extant,y,F,9.2715065,7.747589,6.419376,5.916322,9.2715065,6.0610465,1.444300272,Cercopithecoid,1.309527947
103458,Nasalis_larvatus,extant,y,F,9.1471375,7.6789985,7.31036,6.2539475,9.1471375,6.1527685,1.251256778,Cercopithecoid,1.227864241
103460,Nasalis_larvatus,extant,y,F,10.42947,8.5360375,7.42049,NA,10.42947,6.623038,1.405496133,Cercopithecoid,NA
103464,Nasalis_larvatus,extant,y,F,10.030797,7.669065,6.974122,NA,10.030797,5.8944065,1.438288146,Cercopithecoid,NA
103465,Nasalis_larvatus,extant,y,F,10.026203,8.221363,7.6712255,7.31648,10.026203,6.661804,1.306988434,Cercopithecoid,1.123677369
103466,Nasalis_larvatus,extant,y,F,9.5480525,7.816853,7.261532,6.4258435,9.5480525,6.301281,1.314881281,Cercopithecoid,1.216471114
103467,Nasalis_larvatus,extant,y,F,NA,7.890734,6.9512355,6.3204785,NA,6.4744035,NA,Cercopithecoid,1.248439339
103468,Nasalis_larvatus,extant,y,M,10.659205,8.115422,7.450518,6.601217,10.659205,5.8429175,1.430666297,Cercopithecoid,1.229382703
103469,Nasalis_larvatus,extant,y,M,10.54966,8.1388125,7.483525,6.641105,10.54966,5.9333495,1.409718014,Cercopithecoid,1.225520828
103471,Nasalis_larvatus,extant,y,M,9.3727165,7.3845875,7.3591765,6.1824835,9.3727165,5.807167,1.273609418,Cercopithecoid,1.194437074
103669,Nasalis_larvatus,extant,y,F,NA,8.1520615,6.9770295,6.2614385,NA,6.859241,NA,Cercopithecoid,1.301947069
103670,Nasalis_larvatus,extant,y,M,10.648205,8.7879055,8.0984795,6.8884195,10.648205,6.673676,1.314840026,Cercopithecoid,1.275750628
103671,Nasalis_larvatus,extant,y,M,10.12071,8.5471825,7.399243,6.9287765,10.12071,6.2279645,1.367803436,Cercopithecoid,1.233577458
106028,Nasalis_larvatus,extant,y,M,10.01873,7.9676915,7.03586,6.356228,10.01873,6.162542,1.423952438,Cercopithecoid,1.253525125
106029,Nasalis_larvatus,extant,y,M,9.9799465,7.962305,6.8441875,6.0819365,9.9799465,6.369836,1.458163807,Cercopithecoid,1.309172662
106030,Nasalis_larvatus,extant,y,F,9.6669575,7.7247195,6.1792935,6.189766,9.6669575,6.211005,1.564411449,Cercopithecoid,1.247982476
106031,Nasalis_larvatus,extant,y,M,8.2437305,8.0748485,6.7279725,6.3713525,8.2437305,6.362366,1.225291943,Cercopithecoid,1.267368035
106032,Nasalis_larvatus,extant,y,M,9.4286255,7.966251,6.7941315,6.059517,9.4286255,6.193406,1.387760231,Cercopithecoid,1.314667654
106033,Nasalis_larvatus,extant,y,F,8.699746,7.0650755,5.985074,5.6364335,8.699746,5.7491955,1.453573673,Cercopithecoid,1.2534656
106034,Nasalis_larvatus,extant,y,F,9.81842,7.5546415,6.32478,6.1863985,9.81842,5.833297,1.552373363,Cercopithecoid,1.221169554
106272,Nasalis_larvatus,extant,y,M,10.01514,8.060419,6.99658,5.9141245,10.01514,6.3215245,1.431433643,Cercopithecoid,1.362909929
106273,Nasalis_larvatus,extant,y,M,10.41915,8.3806275,7.653614,6.9479325,10.41915,6.514214,1.361337272,Cercopithecoid,1.206204508
106274,Nasalis_larvatus,extant,y,M,10.498775,8.3469935,7.4776145,6.5155685,10.498775,6.3365045,1.404027314,Cercopithecoid,1.281084452
106275,Nasalis_larvatus,extant,y,M,10.708485,NA,7.679992,6.2342645,10.708485,NA,1.394335437,Cercopithecoid,NA
