row,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
41,"Great speech. She's tested. She's ready. She never quits. That's why Hillary should be our next @POTUS. (She'll get the Twitter handle, too)",FALSE,190671,NA,7/29/16 3:30,FALSE,NA,7.59E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,63276,FALSE,FALSE,NA,NA
42,"Incredible speech by an incredible woman. Couldn't be more proud & our country has been blessed to have her as FLOTUS. I love you, Michelle.",FALSE,563208,NA,7/26/16 2:25,FALSE,NA,7.58E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,176529,FALSE,FALSE,NA,NA
43,"Bienvenido, amigo! We value our enduring partnership with Mexico & will work to strengthen it in the years to come. https://t.co/mjlABSm7jF",FALSE,16992,NA,7/22/16 19:17,FALSE,NA,7.57E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,4556,FALSE,FALSE,NA,NA
44,"This map says it all. Stay safe as it heats up: Drink water, stay out of the sun, and check on your neighbors. https://t.co/c1qFTmq2IV",FALSE,34586,NA,7/20/16 16:36,FALSE,NA,7.56E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,15994,FALSE,FALSE,NA,NA
45,44 men came home because Chuck Kettles believed that we leave no man behind. That's America at our best. https://t.co/UymO2AaRHg,FALSE,14423,NA,7/18/16 14:15,FALSE,NA,7.55E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,3755,FALSE,FALSE,NA,NA
46,"Congrats Carla Hayden, our newest Librarian of Congress! Her confirmation is certainly one for the history books.
https://t.co/5T8rvSRp9e",FALSE,21440,NA,7/14/16 1:38,FALSE,NA,7.53E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,7040,FALSE,FALSE,NA,NA
47,"Incredible! After a 5-year journey, we're up close and personal with our solar system's largest planet. Welcome to Jupiter, @NASAJuno!",FALSE,41416,NA,7/5/16 17:21,FALSE,NA,7.50E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,10519,FALSE,FALSE,NA,NA
48,"Happy Fourth of July, everybody! And to our brave men and women in uniform: On this day and every day, we thank you.",FALSE,52388,NA,7/4/16 14:00,FALSE,NA,7.50E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,18121,FALSE,FALSE,NA,NA
49,Elie Wiesel was a great moral voice of our time and a conscience for our world. He was also a dear friend. We will miss him deeply.,FALSE,54816,NA,7/2/16 23:06,FALSE,NA,7.49E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,19707,FALSE,FALSE,NA,NA
50,"The list goes on. When Members return, I hope they'll share my commitment to work together to do what must be done. https://t.co/l8nChcXpml",FALSE,8685,POTUS,6/30/16 20:58,FALSE,7.49E+17,7.49E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,3986,FALSE,FALSE,NA,NA
51,Americans still need and are asking Congress to pass commonsense gun laws that strengthen background checks and keep our communities safe.,FALSE,8617,POTUS,6/30/16 20:56,FALSE,7.49E+17,7.49E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,2871,FALSE,FALSE,NA,NA
52,"After more than 100 days, the Supreme Court still needs its 9th judge, but the Senate GOP refuses to do its job and consider Judge Garland.",FALSE,6717,POTUS,6/30/16 20:55,FALSE,7.49E+17,7.49E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,3209,FALSE,FALSE,NA,NA
53,Congress is leaving a hefty to-do list undone. Health officials still need emergency funding to effectively protect Americans from Zika.,FALSE,3692,POTUS,6/30/16 20:53,FALSE,7.49E+17,7.49E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,1490,FALSE,FALSE,NA,NA
54,Proud to sign laws to improve transparency and avert a crisis in Puerto Rico. I'd hoped to use my pen more often before Congress left town.,FALSE,14543,NA,6/30/16 20:53,FALSE,NA,7.49E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,3357,FALSE,FALSE,NA,NA
55,"Until next time, Justin. Good to know that Canada and the world will benefit from your leadership for years to come. https://t.co/T10g64niul",FALSE,30603,NA,6/30/16 15:38,FALSE,NA,7.49E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,8514,FALSE,FALSE,NA,NA
56,"Women's opportunities are expanded and our nation is stronger when all of our citizens have accessible, affordable health care.",FALSE,16182,POTUS,6/27/16 16:28,FALSE,7.47E+17,7.47E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,4425,FALSE,FALSE,NA,NA
57,Every woman has a constitutional right to make her own reproductive choices. I'm pleased to see the Supreme Court reaffirm that fact today.,FALSE,114637,NA,6/27/16 16:27,FALSE,NA,7.47E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,46454,FALSE,FALSE,NA,NA
58,Thank you John Lewis for leading on gun violence where we need it most. https://t.co/vctfqAH5Wt,FALSE,56474,NA,6/22/16 17:45,FALSE,NA,7.46E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,25326,FALSE,FALSE,NA,NA
